title,date,url,player
Assume Nothing: The Handler â A Matter of Life and Death: Episode 7: Blurred Lines,21 May 2022,https://www.bbc.co.uk/programmes/m0018y08,James Harden
Assume Nothing: The Handler â A Matter of Life and Death: Episode 4: Internment Day,21 May 2022,https://www.bbc.co.uk/programmes/m00187jb,James Harden
Kobe Bryant: NBA legend's career in numbers,26 January 2020,https://www.bbc.co.uk/sport/basketball/51258733,James Harden
NBA: Joel Embiid stars as Philadelphia 76ers win play-off series against Toronto Raptors,29 April 2022,https://www.bbc.co.uk/sport/basketball/61268340,James Harden
Prehistoric Wales: lost lands of ancestors,23 March 2011,http://www.bbc.co.uk/news/uk-wales-12828756,James Harden
NBA season preview: Can the Los Angeles Lakers win back-to-back titles?,21 December 2020,https://www.bbc.co.uk/sport/basketball/55367547,James Harden
Zion Williamson: Number one draft pick set makes long-awaited NBA debut,22 January 2020,https://www.bbc.co.uk/sport/basketball/51213233,James Harden
Heat swoop for top centre Aaron,24 July 2007,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/6913450.stm,James Harden
Last Minute Xmas Shopping List,20 December 2006,http://www.bbc.co.uk/blogs/chartblog/2006/12/last_minute_xmas_shopping_list.shtml,James Harden
NBA Finals: Golden State Warriors beat Boston Celtics to claim fourth title in eight years,17 June 2022,https://www.bbc.co.uk/sport/basketball/61836898,James Harden
LeBron James signs lifetime deal with Nike,8 December 2015,https://www.bbc.co.uk/news/business-35035743,James Harden
LeBron James passes Wilt Chamberlain on NBA all-time scoring list in Lakers win,15 November 2018,https://www.bbc.co.uk/sport/basketball/46218586,James Harden
NBA: LeBron James stars as Los Angeles Lakers beat Boston Celtics,8 December 2021,https://www.bbc.co.uk/sport/basketball/59575321,James Harden
NBA: Nikola Jokic sets career high for rebounds in Denver Nuggets win,19 December 2022,https://www.bbc.co.uk/sport/basketball/64023967,James Harden
Worcester Wolves sign ex-Surrey Heat guard Chavis Holmes,28 July 2014,https://www.bbc.co.uk/sport/basketball/28524826,James Harden
You and Yours: 14/06/2010,14 June 2010,https://www.bbc.co.uk/programmes/b00snmdq,James Harden
NBA: Kyrie Irving and Kevin Durant score high in Brooklyn Nets defeat at Memphis Grizzlies,25 October 2022,https://www.bbc.co.uk/sport/basketball/63383489,James Harden
NBA: Lebron James' LA Lakers home debut is marred by a fight and ends in defeat,21 October 2018,https://www.bbc.co.uk/sport/basketball/45932208,James Harden
NBA Finals: Steph Curry lifts Golden State Warriors to brink of title,11 June 2016,https://www.bbc.co.uk/sport/basketball/36506197,James Harden
"NBA: Brandon Ingram, Rajon Rondo & Chris Paul banned after punch-up",22 October 2018,https://www.bbc.co.uk/sport/basketball/45937730,James Harden
Kobe Bryant: NBA great inducted into Naismith Hall of Fame,4 April 2020,https://www.bbc.co.uk/sport/basketball/52169273,James Harden
NBA: Golden State Warriors rout Houston Rockets to force series decider,27 May 2018,http://www.bbc.co.uk/sport/basketball/44270136,James Harden
NBA play-offs: LeBron James stars as Los Angeles Lakers reach Western Conference final,13 September 2020,https://www.bbc.co.uk/sport/basketball/54136511,James Harden
NBA: LeBron James claims first Los Angeles Lakers victory,25 October 2018,https://www.bbc.co.uk/sport/basketball/45975260,James Harden
NBA: New York Knicks beat Washington Wizards to reach play-offs,3 April,https://www.bbc.co.uk/sport/basketball/65160914,James Harden
Wolves want new deal for Gilbert,23 March 2011,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/9433310.stm,James Harden
NBA All-Star weekend begins,19 February 2005,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/4280223.stm,James Harden
NBA: Giannis Antetokounmpo stars as the Milwaukee Bucks beat the Philadelphia 76ers,30 March 2022,https://www.bbc.co.uk/sport/basketball/60925003,James Harden
NBA: Phoenix Suns beat Minnesota Timberwolves as Deandre Ayton scores 35 points,24 March 2022,https://www.bbc.co.uk/sport/basketball/60858243,James Harden
NBA play-offs: Kevin Durant steers Brooklyn Nets to huge win over Milwaukee Bucks,8 June 2021,https://www.bbc.co.uk/sport/basketball/57396144,James Harden
Leeds 16-30 Gloucester,30 January 2011,http://news.bbc.co.uk/sport1/hi/rugby_union/9376667.stm,James Harden
Plymouth 49-103 Everton,18 January 2009,http://news.bbc.co.uk/sport1/hi/other_sports/basketball/7833990.stm,James Harden
Duncan in eighth All-NBA team,19 May 2005,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/4563215.stm,James Harden
NBA postpones more games over Covid-19 case number rise,19 December 2021,https://www.bbc.co.uk/sport/basketball/59720597,James Harden
Premiership: Bath 15-13 Gloucester,14 September 2016,http://www.bbc.co.uk/sport/rugby-union/24625239,James Harden
LeBron James: NBA superstar's evolution from high school prodigy,4 March 2021,https://www.bbc.co.uk/sport/basketball/56186430,James Harden
NBA play-offs: Philadelphia 76ers beat Brooklyn Nets to complete 4-0 series sweep,22 April,https://www.bbc.co.uk/sport/basketball/65361192,James Harden
Rapper stays in top chart slot,3 July 2005,http://news.bbc.co.uk/1/hi/entertainment/music/4647021.stm,James Harden
Kawhi Leonard and Paul George break scoring records in LA Clippers win,14 December 2019,https://www.bbc.co.uk/sport/basketball/50792823,James Harden
