Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name
3930,PG Knocking on the Door of Pacers History,2015-16,http://global.nba.com/news/pg-knocking-on-the-door-of-pacers-history/,Mark Montieth,505,8188,22207,0.2017269651644652,0.2017269651644652,James Harden
3931,"Pelicans’ Evans Activated, Not Likely To Play vs. Suns",2015-16,http://global.nba.com/news/pelicans-shootaround-update-presented-by-hub-international-tyreke-evans-is-game-time-decision-at-suns/,Jim Eichenhofer,2565,21361,44563,0.0995310245310245,0.0995310245310245,Tyreke Evans
3932,Fantasy Weekly: Lowry Continues to Excel,2015-16,http://global.nba.com/news/fantasy-weekly-lowry-continues-to-excel/,"Jon Hartzell, NBA.com",3,None,None,0.0810912698412698,0.0810912698412698,James Harden
3933,Oladipo Comes Off Bench vs. Knicks,2015-16,http://global.nba.com/news/oladipo-will-come-off-bench-tonight-vs-knicks/,NBA News,Default,Default,Default,0.1197648185148184,0.1197648185148184,Victor Oladipo
3934,Five Keys: Cavaliers at Raptors,2015-16,http://global.nba.com/news/five-keys-cavaliers-at-raptors/,Joe Gabriele,492,None,None,0.1879645519824091,0.1879645519824091,LeBron James
3935,NBA Rookie Ladder: Towns Shows Staying Power At No. 1,2015-16,http://global.nba.com/news/nba-rookie-ladder-towns-shows-staying-power-at-no-1/,NBA News,Default,Default,Default,0.1351200025464731,0.1351200025464731,James Harden
3936,Cousins Listed As ‘Doubtful’ For Wednesday’s Matchup With Bucks,2015-16,http://global.nba.com/news/cousins-listed-as-doubtful-for-wednesdays-matchup-with-bucks/,NBA News,Default,Default,Default,-0.08,-0.08,DeMarcus Cousins
3937,Blogtable: Can Anything Slow The Warriors?,2015-16,http://global.nba.com/news/blogtable-can-anything-slow-the-warriors/,NBA News,Default,Default,Default,0.0795971055088702,0.0795971055088702,Stephen Curry
3938,"Report: Hornets, Clifford Agree On Extension",2015-16,http://global.nba.com/news/report-hornets-clifford-agree-on-extension/,NBA News,Default,Default,Default,0.1810185185185185,0.1810185185185185,Al Jefferson
3939,Warriors Make NBA History With Win Over Lakers,2015-16,http://global.nba.com/news/warriors-hammer-lakers-set-new-nba-record-for-fastest-start-16-0/,NBA News,Default,Default,Default,0.1575990860990861,0.1575990860990861,Stephen Curry
