,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
83,Greg Brown III,20,8.1,3.7,-4.7,-0.7,17.3,0.5,0.342,48,False,640,-4.0,6.3,-0.1,11.0,['SMALL FORWARD'],browngr01,2.0,PORTLAND TRAIL BLAZERS,0.321,11.6,0.515,14.1,17.2,-0.4,0.4,0.029
366,Maxi Kleber,30,6.5,3.6,-0.4,1.2,21.5,2.3,0.184,59,False,1450,-1.6,5.4,0.7,11.0,['POWER FORWARD'],klebima01,1.0,DALLAS MAVERICKS,0.72,13.4,0.537,10.9,13.3,0.6,3.0,0.098
294,Talen Horton-Tucker,21,14.9,1.7,-3.3,-0.2,11.1,1.2,0.232,60,False,1511,-3.2,2.6,-0.2,11.0,['SHOOTING GUARD'],hortota01,1.9,LOS ANGELES LAKERS,0.338,6.9,0.503,12.1,19.2,-0.5,1.1,0.033
421,Garrison Mathews,25,5.3,1.3,-2.3,-1.0,10.2,0.5,0.39,65,False,1712,-1.3,2.0,2.2,11.0,['SHOOTING GUARD'],mathega01,1.6,HOUSTON ROCKETS,0.837,6.1,0.602,7.1,14.4,-0.1,2.8,0.078
690,Brandon Williams,22,23.1,1.5,-5.7,-3.1,9.8,0.2,0.344,24,False,640,-2.6,3.1,-0.7,11.0,['POINT GUARD'],willibr03,1.8,PORTLAND TRAIL BLAZERS,0.376,6.4,0.476,15.2,25.9,-0.6,-0.5,-0.037
646,Juan Toscano-Anderson,28,17.6,1.6,-0.8,2.4,15.8,1.8,0.298,73,False,994,-3.3,3.2,0.3,11.0,['SMALL FORWARD'],toscaju01,2.4,GOLDEN STATE WARRIORS,0.37,9.7,0.561,20.4,14.7,0.3,2.0,0.098
422,Dakota Mathias,26,8.0,0.0,0.3,1.7,13.4,0.0,0.0,6,False,16,-1.4,0.0,0.0,11.0,['SHOOTING GUARD'],mathida01,3.0,MEMPHIS GRIZZLIES,1.0,6.5,0.5,0.0,15.4,0.0,0.0,0.114
257,Gary Harris,27,9.5,0.5,-2.4,-0.4,5.3,1.0,0.172,61,False,1730,-2.0,2.2,1.1,10.9,['SHOOTING GUARD'],harriga01,1.6,ORLANDO MAGIC,0.546,3.7,0.571,9.3,16.4,-0.2,2.2,0.06
365,Corey Kispert,22,6.7,1.0,-2.3,-1.5,9.4,0.7,0.121,77,False,1801,-0.8,3.3,1.6,10.9,['SMALL FORWARD'],kispeco01,1.0,WASHINGTON WIZARDS,0.623,6.4,0.586,8.5,14.6,-0.1,2.3,0.061
467,Markieff Morris,32,12.1,0.4,-1.9,-0.4,10.5,0.3,0.079,17,False,298,-1.5,6.6,0.0,10.9,['POWER FORWARD'],morrima02,1.0,MIAMI HEAT,0.342,8.6,0.547,14.5,20.6,0.0,0.3,0.054
