,name,minutes_played,games_played,points,team,age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,personal_fouls,positions,slug,steals,turnovers
527,Jordan Poole,2283,76,1405,GOLDEN STATE WARRIORS,22,304,1058,266,580,23,226,51,474,246,211,34,206,['SHOOTING GUARD'],poolejo01,60,187
36,RJ Barrett,2417,70,1402,NEW YORK KNICKS,21,208,1194,406,404,16,342,70,487,290,138,66,142,['SMALL FORWARD'],barrerj01,43,151
224,Shai Gilgeous-Alexander,1942,56,1371,OKLAHOMA CITY THUNDER,23,331,1052,405,297,46,241,56,477,328,89,37,142,['POINT GUARD'],gilgesh01,71,154
274,Tyler Herro,2151,66,1367,MIAMI HEAT,22,263,1122,219,439,8,297,10,501,190,175,32,95,['SHOOTING GUARD'],herroty01,44,174
203,De'Aaron Fox,2083,59,1367,SACRAMENTO KINGS,24,330,1092,348,249,25,206,59,516,261,74,25,172,['POINT GUARD'],foxde01,68,168
445,Khris Middleton,2141,66,1325,MILWAUKEE BUCKS,30,358,1021,291,434,18,315,66,452,259,162,41,160,['SMALL FORWARD'],middlkh01,76,190
52,Saddiq Bey,2704,82,1321,DETROIT PISTONS,22,233,1136,254,610,16,334,82,450,210,211,107,128,['SMALL FORWARD'],beysa01,73,96
657,Fred VanVleet,2462,65,1320,TORONTO RAPTORS,27,434,1097,222,642,35,245,65,442,194,242,44,162,['POINT GUARD'],vanvlfr01,111,170
653,Jonas Valančiūnas,2240,74,1314,NEW ORLEANS PELICANS,29,190,938,289,158,60,617,74,510,237,57,226,247,['CENTER'],valanjo01,41,179
424,Tyrese Maxey,2650,75,1311,PHILADELPHIA 76ERS,21,321,995,246,309,32,214,74,483,213,132,26,156,['POINT GUARD'],maxeyty01,55,88
660,Nikola Vučević,2418,73,1288,CHICAGO BULLS,31,236,1154,121,331,71,662,73,546,92,104,142,181,['CENTER'],vucevni01,70,136
89,Jalen Brunson,2524,79,1285,DALLAS MAVERICKS,25,377,1008,213,252,3,266,61,506,179,94,43,151,['SHOOTING GUARD'],brunsja01,66,124
648,Gary Trent Jr.,2448,70,1283,TORONTO RAPTORS,23,141,1086,204,545,19,165,69,450,174,209,26,144,['SHOOTING GUARD'],trentga02,122,73
337,Keldon Johnson,2392,75,1278,SAN ANTONIO SPURS,22,158,1011,234,399,14,377,74,471,177,159,80,148,['SMALL FORWARD'],johnske04,58,92
34,Harrison Barnes,2587,77,1265,SACRAMENTO KINGS,29,186,834,413,360,14,350,77,391,341,142,82,94,['POWER FORWARD'],barneha02,53,118
322,Reggie Jackson,2337,75,1263,LOS ANGELES CLIPPERS,31,359,1222,163,512,15,232,75,479,138,167,39,159,['SHOOTING GUARD'],jacksre01,55,173
259,Tobias Harris,2543,73,1257,PHILADELPHIA 76ERS,29,252,1022,202,275,43,419,73,493,170,101,77,164,['POWER FORWARD'],harrito02,47,116
688,Andrew Wiggins,2329,73,1256,GOLDEN STATE WARRIORS,26,161,1019,235,399,51,240,73,475,149,157,85,158,['SMALL FORWARD'],wiggian01,76,111
60,Bojan Bogdanović,2131,69,1248,UTAH JAZZ,32,120,928,260,468,1,238,69,422,223,181,58,116,['POWER FORWARD'],bogdabo02,34,118
