,title,date,url,player
131,Father and son 'high up in organised crime gang',2016-17,https://www.bbc.co.uk/news/uk-northern-ireland-38162785,Stephen Curry
132,NBA: LeBron James' comeback spoiled as Boston Celtics beat Los Angeles Lakers,2021-22,https://www.bbc.co.uk/sport/basketball/59358572,Stephen Curry
133,"Mid-Ulster crime gang 'took huge financial hit', court told",2016-17,https://www.bbc.co.uk/news/uk-northern-ireland-37976541,Stephen Curry
134,NBA: Giannis Antetokounmpo leads Milwaukee Bucks to win on injury return,2022-23,https://www.bbc.co.uk/sport/basketball/64948897,Stephen Curry
135,NBA: Golden State Warriors v LA Lakers & other key talking points for new season,2022-23,https://www.bbc.co.uk/sport/basketball/63287260,Stephen Curry
137,NBA: Damian Lillard scores season-high 60 points as Portland Trail Blazers beat Utah Jazz,2022-23,https://www.bbc.co.uk/sport/basketball/64409544,Stephen Curry
140,Golden State Warriors suffer rare defeat in NBA record wins chase,2015-16,https://www.bbc.co.uk/sport/basketball/35855809,Stephen Curry
141,Irish Premiership: Paul McElroy hat-trick helps Portadown beat Swifts to close gap at bottom,2022-23,https://www.bbc.co.uk/sport/football/64766315,Stephen Curry
142,Golden State Warriors extend unbeaten run to set NBA record,2015-16,https://www.bbc.co.uk/sport/basketball/34918642,Stephen Curry
145,Niall Currie seals first win as Portadown manager,2016-17,https://www.bbc.co.uk/sport/av/northern-ireland/38352670,Stephen Curry
150,NBA: Giannis Antetokounmpo leads Bucks to win over Warriors,2022-23,https://www.bbc.co.uk/sport/basketball/63968476,Stephen Curry
153,Wizards stay alive,2002-03,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/2842235.stm,Stephen Curry
154,"Acun Ilicali: Hull City owner willing to spend, but big outlay will be on strikers",2021-22,https://www.bbc.co.uk/sport/football/60491511,Stephen Curry
155,NBA: LeBron James helps LA Lakers beat Golden State Warriors,2020-21,https://www.bbc.co.uk/sport/basketball/56411872,Stephen Curry
160,Golden State Warriors beat Los Angeles Clippers in final regular-season game,2018-19,https://www.bbc.co.uk/sport/basketball/47850335,Stephen Curry
161,"Curry firm creates 1,000 jobs",2000-01,http://news.bbc.co.uk/hi/english/business/newsid_1245000/1245255.stm,Stephen Curry
162,NBA: Everything you need to know about the 2016-17 season,2016-17,https://www.bbc.co.uk/sport/basketball/37717478,Stephen Curry
163,McArthur and Craigan promote derby,2009-10,http://news.bbc.co.uk/sport1/hi/scotland/8340659.stm,Stephen Curry
164,Why Steph Curry is 'the best player in the NBA',2015-16,https://www.bbc.co.uk/news/newsbeat-34920880,Stephen Curry
167,Barry's amusements: 'It's my wee happy place',2021-22,https://www.bbc.co.uk/news/uk-northern-ireland-61000096,Stephen Curry
168,Irish Premiership: Ballinamallard Utd 3-1 Warrenpoint Town,2014-15,https://www.bbc.co.uk/sport/football/30255666,Stephen Curry
169,Joel Embiid and Karl-Anthony Towns are ejected for fight,2019-20,https://www.bbc.co.uk/sport/av/basketball/50250809,Stephen Curry
170,Man in hammock killed when Bude cliff collapsed,2019-20,https://www.bbc.co.uk/news/uk-england-cornwall-51298285,Stephen Curry
171,NBA season preview: Who will challenge the Golden State Warriors?,2017-18,https://www.bbc.co.uk/sport/basketball/41626662,Stephen Curry
173,Steph Curry: Golden State Warriors star helps young girl wear his trainers,2018-19,https://www.bbc.co.uk/sport/basketball/46396930,Stephen Curry
175,Irish Premiership: Portadown 2-1 Institute,2014-15,https://www.bbc.co.uk/sport/football/30673066,Stephen Curry
176,Newsday: Grim coronavirus milestone reached in the US,2021-22,https://www.bbc.co.uk/programmes/w172xv3165kngy1,Stephen Curry
179,Eurobasket: Great Britain win over Montenegro delights Collins,2015-16,https://www.bbc.co.uk/sport/av/basketball/35657397,Stephen Curry
180,Austin Currie: Tributes paid to NI civil rights leader,2021-22,https://www.bbc.co.uk/news/uk-northern-ireland-59231055,Stephen Curry
183,Institute's cup hopes ended by Warrenpoint Town,2018-19,https://www.bbc.co.uk/sport/av/northern-ireland/46770165,Stephen Curry
185,Gault goal gives Ports win over Institute,2014-15,https://www.bbc.co.uk/sport/av/football/30690497,Stephen Curry
187,Loughgall still two points clear,2008-09,http://news.bbc.co.uk/sport1/hi/football/irish/7999256.stm,Stephen Curry
190,Mornings: with Stephen Jardine,2022-23,https://www.bbc.co.uk/programmes/m001g9bv,Stephen Curry
192,WBBL Cup final: Sheffield Hatters win WBBL Cup in dying seconds,2018-19,https://www.bbc.co.uk/sport/av/basketball/47020906,Stephen Curry
194,NBA: Joel Embiid scores 39 points as Philadelphia top Eastern Conference,2020-21,https://www.bbc.co.uk/sport/basketball/56756955,Stephen Curry
195,NBA: Joel Embiid helps Philadelphia 76ers to win over Los Angeles Lakers,2021-22,https://www.bbc.co.uk/sport/basketball/60166399,Stephen Curry
196,"NBA: LA rivalry, Zion Williamson & China disputes - the big talking points before new season",2019-20,https://www.bbc.co.uk/sport/basketball/50132656,Stephen Curry
197,Stirling Albion 6-3 Berwick Rangers,2012-13,https://www.bbc.co.uk/sport/football/20722245,Stephen Curry
199,Glenavon and Institute play out six-goal thriller,2018-19,https://www.bbc.co.uk/sport/av/football/46710019,Stephen Curry
200,Glenavon and Institute play out six-goal thriller,2018-19,https://www.bbc.co.uk/sport/av/football/46710019,Stephen Curry
202,Chet Holmgren: Is this 7ft teenager basketball's next superstar?,2020-21,https://www.bbc.co.uk/sport/av/basketball/55909258,Stephen Curry
204,Ballymena edge out Stute to keep up pursuit of Linfield,2018-19,https://www.bbc.co.uk/sport/av/football/47183650,Stephen Curry
205,Bournemouth 1-0 Wycombe,2003-04,http://news.bbc.co.uk/sport1/hi/football/eng_div_2/3495506.stm,Stephen Curry
206,Ten-man Coleraine beat Ards to end nine-game losing run,2013-14,https://www.bbc.co.uk/sport/av/football/25604618,Stephen Curry
208,NBA: Miami Heat set free-throw record in 112-111 win over Oklahoma City Thunder,2022-23,https://www.bbc.co.uk/sport/basketball/64233233,Stephen Curry
212,NBA: Los Angeles Lakers beaten by Philadelphia 76ers to end away streak,2020-21,https://www.bbc.co.uk/sport/basketball/55838170,Stephen Curry
214,Golden State Warriors suffer heaviest defeat of season against Dallas Mavericks,2018-19,https://www.bbc.co.uk/sport/basketball/47684182,Stephen Curry
220,NBA: Golden State Warriors thrash San Antonio Spurs in front of record crowd,2022-23,https://www.bbc.co.uk/sport/basketball/64273731,Stephen Curry
222,East Stirlingshire 3-2 Berwick,2009-10,http://news.bbc.co.uk/sport1/hi/football/scot_div_1/8498703.stm,Stephen Curry
225,Moral Maze: The Rules - Expectations and Apologies,2021-22,https://www.bbc.co.uk/programmes/m0013jf7,Stephen Curry
226,Ofcom names chief executive,2002-03,http://news.bbc.co.uk/1/hi/entertainment/tv_and_radio/2680353.stm,Stephen Curry
229,NBA: Brooklyn Nets stun Boston Celtics 115-105 in biggest comeback win this season,2022-23,https://www.bbc.co.uk/sport/basketball/64846501,Stephen Curry
230,Currie calls for CJD compensation,1998-99,http://news.bbc.co.uk/hi/english/uk/newsid_220000/220223.stm,Stephen Curry
232,Stephen Hepburn: Sex harassment claims investigated by Labour,2018-19,https://www.bbc.co.uk/news/uk-england-tyne-47641273,Stephen Curry
234,Bold Bruins land Gonchar,2003-04,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/3532673.stm,Stephen Curry
236,Assembly members' food for thought,2008-09,http://news.bbc.co.uk/1/hi/northern_ireland/7724581.stm,Stephen Curry
238,Partick Thistle 6-1 Stirling,2010-11,http://news.bbc.co.uk/sport1/hi/football/scot_div_1/9361139.stm,Stephen Curry
239,NBA: Dallas Mavericks 'do not plan' to play national anthem again before games,2020-21,https://www.bbc.co.uk/sport/basketball/55988763,Stephen Curry
240,"NBA: LA Lakers and LA Clippers win, Boston Celtics v Miami Heat called off",2020-21,https://www.bbc.co.uk/sport/basketball/55615129,Stephen Curry
244,NBA: Luka Doncic leads Dallas Mavericks to win over Golden State Warriors,2022-23,https://www.bbc.co.uk/sport/basketball/63804650,Stephen Curry
245,Irish Premiership: Ten-man Reds edge Ports as top four win,2016-17,https://www.bbc.co.uk/sport/football/38277481,Stephen Curry
248,Coagh Utd 1-1 Newbuildings Utd,2011-12,https://www.bbc.co.uk/sport/football/16997161,Stephen Curry
249,Golden State Warriors' 54-match NBA winning home record ends,2015-16,https://www.bbc.co.uk/sport/basketball/35949980,Stephen Curry
253,Zion Williamson: Number one draft pick set makes long-awaited NBA debut,2019-20,https://www.bbc.co.uk/sport/basketball/51213233,Stephen Curry
255,Hurling League Division 3A: Donegal beat Armagh in decider,2019-20,https://www.bbc.co.uk/sport/gaelic-games/51794942,Stephen Curry
257,NBA: Los Angeles Lakers beaten by Portland Trail Blazers as losing start continues,2022-23,https://www.bbc.co.uk/sport/basketball/63370829,Stephen Curry
258,Warrenpoint Town clinch promotion to Irish Premiership,2016-17,https://www.bbc.co.uk/sport/football/39467258,Stephen Curry
260,NBA: Sacramento Kings beat LA Clippers in 'crazy' 176-175 history-making game,2022-23,https://www.bbc.co.uk/sport/basketball/64769116,Stephen Curry
261,Why Toronto Raptors fan Drake took WWE belts to the Milwaukee Bucks game,2019-20,https://www.bbc.co.uk/sport/basketball/51647926,Stephen Curry
262,Irish Premiership: Ballinamallard Utd 2-1 Coleraine,2014-15,https://www.bbc.co.uk/sport/football/31473142,Stephen Curry
263,Irish Premiership: Ballinamallard Utd 1-1 Crusaders,2014-15,https://www.bbc.co.uk/sport/football/29968735,Stephen Curry
264,NBA: DeMar DeRozan scores 40 points and beats Michael Jordan scoring record,2021-22,https://www.bbc.co.uk/sport/basketball/60385904,Stephen Curry
265,Coach Stephen Keshi proud of Nigeria's CHAN campaign,2013-14,https://www.bbc.co.uk/sport/football/26007595,Stephen Curry
268,Supermarket armed raiders jailed,2009-10,http://news.bbc.co.uk/1/hi/england/tyne/8617723.stm,Stephen Curry
269,NBA: Chicago Bulls end Boston Celtics' nine-game winning streak,2022-23,https://www.bbc.co.uk/sport/basketball/63713182,Stephen Curry
270,Steph Curry: Is NBA star really the new Michael Jordan?,2015-16,https://www.bbc.co.uk/sport/basketball/35666661,Stephen Curry
271,NBA: Golden State Warriors beaten by LA Clippers in new arena,2019-20,https://www.bbc.co.uk/sport/basketball/50179455,Stephen Curry
272,Irish Premiership: Dungannon Swifts 0-4 Warrenpoint Town,2013-14,https://www.bbc.co.uk/sport/football/26995097,Stephen Curry
274,Queen of the South 5-1 Arbroath,2012-13,https://www.bbc.co.uk/sport/football/20920810,Stephen Curry
275,Overtime joy for Favre,2003-04,http://news.bbc.co.uk/sport1/hi/other_sports/us_sport/3358543.stm,Stephen Curry
276,South Africa: Player stats,2002-03,http://news.bbc.co.uk/sport1/hi/rugby_union/international/2503261.stm,Stephen Curry
