Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment
69,Race To MVP: The John Wall Show,2016-17,http://global.nba.com/news/race-to-mvp-the-john-wall-show/,NBA News,Default,Default,Default,0.1355890538033395,0.13558905380333955
70,Kanter expected to miss significant time,2016-17,http://global.nba.com/news/kanter-expected-to-miss-significant-time/,NBA News,Default,Default,Default,0.0436190476190476,0.0436190476190476
71,Lillard keeping All-Star snub in perspective,2016-17,http://global.nba.com/news/lillard-keeping-all-star-snub-in-perspective/,NBA News,Default,Default,Default,0.020969089390142,0.020969089390142026
72,Lue Aims To Recalibrate Cavs,2016-17,http://global.nba.com/news/lue-aims-to-recalibrate-cavs/,NBA News,Default,Default,Default,0.1031746031746031,0.10317460317460317
73,Westbrook drops 45 to lead Thunder to victory,2016-17,http://global.nba.com/news/thunder-vs-dallas-mavericks-game-recap-jan-26-2017/,Nick Gallo,628,None,None,0.0547331611041288,0.05473316110412887
74,Jazz scoot past Lakers thanks to 24 points from Gordon Hayward,2016-17,http://global.nba.com/news/the-roundupjazz-96-lakers-88/,Matt Payne,846,594,1474,0.0876369992441421,0.0876369992441421
75,Nuggets block-out the Suns,2016-17,http://global.nba.com/news/nuggets-block-out-the-suns/,dbier,None,None,None,0.0231371252204585,0.023137125220458556
76,Big game from Towns not enough in loss to Pacers,2016-17,http://global.nba.com/news/big-game-from-towns-not-enough-in-loss-to-pacers/,Timberwolves.com,None,None,None,-0.0856630824372759,-0.08566308243727598
77,"Thunder’s Westbrook, three first-time All-Stars headline All-Star reserves",2016-17,http://global.nba.com/news/all-star-reserves-announced/,NBA News,Default,Default,Default,0.0684892402283706,0.06848924022837066
78,Code Orange: SVG gives Pistons priority points to spark stretch run,2016-17,http://global.nba.com/news/code-orange-svg-gives-pistons-priority-points-to-spark-stretch-run/,Keith Langlois,1847,20186,45418,0.1328816738816739,0.1328816738816739
79,The Magic of Nikola Jokic,2016-17,http://global.nba.com/news/the-magic-of-nikola-jokic/,Jonathan Huang,28,None,None,0.1458146805821224,0.14581468058212246
80,Jazz provide blueprint for young squads,2016-17,http://global.nba.com/news/jazz-provide-bluepring-for-young-squads/,NBA News,Default,Default,Default,0.1777736675562762,0.17777366755627627
81,Westbrook Looks To Continue Triple-Double Streak In Matchup With Mavs,2016-17,http://global.nba.com/news/integris-game-day-report-thunder-vs-dallas-mavericks-jan-26-2017/,Nick Gallo,628,None,None,0.1078995078995079,0.1078995078995079
82,Jan. 26 Shootaround — Cavs’ woes continue,2016-17,http://global.nba.com/news/jan-26-shootaround-cavs-woes-continue/,NBA News,Default,Default,Default,0.1479641810810642,0.1479641810810642
83,Bulls frustrations air out after loss to Hawks,2016-17,http://global.nba.com/news/bulls-frustrations-air-out-after-loss-to-hawks/,Matt Moreno,1636,None,None,0.0951719576719576,0.09517195767195767
84,What To Watch For As Lakers Take On Jazz,2016-17,http://global.nba.com/news/10-things-to-know-lakers-at-jazz-12617/,Joey Ramirez,996,None,None,0.0523145415190869,0.05231454151908697
85,Westbrook passes Larry Bird for 5th in triple-doubles as Thunder win,2016-17,http://global.nba.com/news/thunder-at-new-orleans-pelicans-game-recap-jan-25-2017/,Nick Gallo,628,None,None,0.1279684533302954,0.12796845333029544
86,Marc Gasol has career night as Grizzlies hold off Raptors,2016-17,http://global.nba.com/news/game-rap-raptors-99-grizzlies-101/,JP Lopez,27,None,None,0.0094582185491276,0.009458218549127638
87,Waiters comes up clutch again to help Miami win fifth straight,2016-17,http://global.nba.com/news/heat-109-nets-106-game-recap/,Joe Beguiristain,452,None,None,0.0820486951842884,0.08204869518428841
88,Kings hand Cavs their sixth loss in eight games,2016-17,http://global.nba.com/news/kings-dethrone-cavs-in-the-clutch/,Shahbaz Khan,258,None,None,0.0676470588235294,0.06764705882352941
89,Dramatic finish leads to latest thrilling win for Sixers,2016-17,http://global.nba.com/news/at-the-buzzer-dramatic-finish-leads-to-latest-thrilling-win/,Brian Seltzer,780,None,None,0.1316308243727598,0.13163082437275986
90,Late run pushes Celtics past visiting Rockets,2016-17,http://global.nba.com/news/keys-to-the-game-celtics-120-rockets-109/,Marc DAmico,88,None,None,0.1446424657963119,0.14464246579631196
91,"Towns, Embiid headline rosters for 2017 BBVA Compass Rising Stars Challenge",2016-17,http://global.nba.com/news/minnesotas-towns-and-philadelphias-embiid-headline-rosters-for-2017-bbva-compass-rising-stars-challenge/,NBA News,Default,Default,Default,0.033051948051948,0.033051948051948055
92,Kia Rookie Ladder: Brandon Ingram takes a spin at point guard for Lakers,2016-17,http://global.nba.com/news/kia-rookie-ladder-brandon-ingram-takes-a-spin-at-point-guard-for-lakers-2/,NBA News,Default,Default,Default,0.0918834966203387,0.09188349662033873
93,Blogtable: Who is LeBron James angling for Cavs to add?,2016-17,http://global.nba.com/news/blogtable-who-is-lebron-james-angling-for-cavs-to-add-2/,NBA News,Default,Default,Default,0.2625386518243661,0.2625386518243661
94,Point guard shuffle continues for Bulls,2016-17,http://global.nba.com/news/point-guard-shuffle-continues-for-bulls/,NBA News,Default,Default,Default,0.0665189125295508,0.06651891252955083
95,LeBron James continues to press Cavs’ front office,2016-17,http://global.nba.com/news/lebron-james-continues-to-press-cavs-front-office/,NBA News,Default,Default,Default,0.1246253746253746,0.12462537462537462
96,10 Things To Know: Lakers At Trail Blazers,2016-17,http://global.nba.com/news/10-things-to-know-lakers-at-trail-blazers-12517/,Joey Ramirez,996,None,None,0.0670386904761904,0.06703869047619049
97,Wiggins sinks Suns with buzzer-beater,2016-17,http://global.nba.com/news/wiggins-sinks-suns-with-buzzer-beater/,NBA News,Default,Default,Default,0.0166666666666666,0.016666666666666663
98,Jokic provides hot-hand as Nuggets top Jazz,2016-17,http://global.nba.com/news/jokic-provides-hot-hand-as-nuggets-top-jazz/,NBA News,Default,Default,Default,0.0959259259259259,0.09592592592592594
99,Sixers rally to beat Clippers in Blake Griffin’s return from injury,2016-17,http://global.nba.com/news/sixers-rally-to-beater-clippers-in-blake-griffins-return-from-injury/,NBA News,Default,Default,Default,0.0657407407407407,0.06574074074074075
100,Shorthanded Spurs edge DeRozan-less Raptors,2016-17,http://global.nba.com/news/shorthanded-spurs-edge-derozan-less-raptors/,NBA News,Default,Default,Default,0.113560606060606,0.11356060606060606
101,"Wall, Beal lead Wizards past Celtics for 14th straight win at home",2016-17,http://global.nba.com/news/wall-beal-lead-wizards-past-celtics-for-14th-straight-win-at-home/,NBA News,Default,Default,Default,0.0233301055669476,0.023330105566947677
102,What To Watch For As Celtics Take On Rockets (19:30 PM EST),2016-17,http://global.nba.com/news/watch-it-rockets-at-celtics-2/,Taylor Snow,None,None,None,0.0781544743501265,0.0781544743501265
103,NBA’s top jersey sales announced,2016-17,http://global.nba.com/news/nbas-top-jersey-sales-announced/,NBA News,Default,Default,Default,0.4780303030303029,0.47803030303030297
104,LeBron wants Cavs to add a playmaker,2016-17,http://global.nba.com/news/lebron-wants-cavs-to-add-a-playmaker/,NBA News,Default,Default,Default,0.0594325609031491,0.059432560903149134
105,"Westbrook’s 22nd triple-double wins it, ties Larry Bird",2016-17,http://global.nba.com/news/thunder-at-utah-jazz-game-recap-jan-23-2017/,Nick Gallo,628,None,None,0.1307727986299414,0.13077279862994148
106,Waiters’ buzzer-beater hands Warriors their 7th loss,2016-17,http://global.nba.com/news/warriors-lose-heartbreaker-to-heat/,Brian Witt,3514,7145,34578,0.0554166666666666,0.05541666666666666
107,"Nets Fall to Spurs, 112-86",2016-17,http://global.nba.com/news/nets-fall-to-spurs-112-86/,Danby Wong,None,None,None,-0.0241026936026936,-0.024102693602693608
108,Jones fills in for AD as Pelicans shock Cavs,2016-17,http://global.nba.com/news/postgame-pelicans-124-cavaliers-122/,Jim Eichenhofer,2565,21361,44563,0.0608410636982065,0.060841063698206556
109,"Pistons can’t sustain momentum, see 3-game win streak snapped by Kings",2016-17,http://global.nba.com/news/pistons-cant-sustain-momentum-see-3-game-win-streak-snapped-by-kings/,Keith Langlois,1847,20186,45418,0.0440208065208065,0.04402080652080652
110,Warriors’ Steve Kerr to Coach West All-Stars,2016-17,http://global.nba.com/news/warriors-steve-kerr-to-coach-west-all-stars/,Official release,Default,Default,Default,0.0354066985645932,0.03540669856459329
111,Embiid and Leonard named Players of the Week,2016-17,http://global.nba.com/news/philadelphias-embiid-and-san-antonios-leonard-named-nba-eastern-and-western-conference-players-of-the-week/,NBA News,Default,Default,Default,0.255,0.255
112,Warriors Stay Atop NBA.com Power Rankings,2016-17,http://global.nba.com/news/warriors-stay-atop-nba-com-power-rankings/,NBA News,Default,Default,Default,0.1006334138422553,0.10063341384225534
113,"Lakers navigate a sobering, somber (and educational) post-Kobe Bryant path",2016-17,http://global.nba.com/news/lakers-navigate-a-sobering-somber-and-educational-post-kobe-bryant-path-2/,NBA News,Default,Default,Default,0.0922939009622426,0.09229390096224264
114,Jeremy Lin out 3-5 more weeks with hamstring injury,2016-17,http://global.nba.com/news/jeremy-lin-out-3-5-more-weeks-with-hamstring-injury/,NBA News,Default,Default,Default,0.0499999999999999,0.049999999999999996
115,Knicks losing as painfully as possible,2016-17,http://global.nba.com/news/knicks-losing-as-painfully-as-possible/,NBA News,Default,Default,Default,0.0268222292612536,0.02682222926125365
116,Bledsoe serving up reminders that he’s ready for prime time,2016-17,http://global.nba.com/news/bledsoe-serving-up-reminders-that-hes-ready-for-prime-time/,NBA News,Default,Default,Default,0.177767516434183,0.17776751643418306
117,Clippers need Crawford now more than ever,2016-17,http://global.nba.com/news/clippers-need-crawford-now-more-than-ever/,NBA News,Default,Default,Default,0.0068912117692605,0.006891211769260547
118,Cavs not panicking despite recent skid,2016-17,http://global.nba.com/news/cavs-not-panicking-despite-recent-skid/,NBA News,Default,Default,Default,0.1652082044939187,0.16520820449391876
119,Strong fourth quarter pushes Suns past Raptors in Toronto,2016-17,http://global.nba.com/news/game-rap-raptors-103-suns-115/,JP Lopez,27,None,None,0.0492592592592592,0.04925925925925925
120,Timberwolves beat Nuggets with late-game run,2016-17,http://global.nba.com/news/timberwolves-beat-nuggets-with-late-game-run/,dbier,None,None,None,0.1032038363934915,0.10320383639349155
121,Lakers routed in trip to Dallas,2016-17,http://global.nba.com/news/lakers-routed-in-trip-to-dallas/,Joey Ramirez,996,None,None,0.1011460761460761,0.10114607614607615
122,"Warriors overcome Magic, win 7th straight",2016-17,http://global.nba.com/news/warriors-overcome-in-orlando/,Brian Witt,3514,7145,34578,0.0614351851851851,0.061435185185185176
