,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score,bert_relevance
321,Why Chicago Is The Real Mecca Of Basketball,2020,http://global.nba.com/news/why-chicago-is-the-real-mecca-of-basketball-2/,Steve Aschburner,13,91,42,0.1205942979579343,0.1205942979579343,Anthony Davis,0.0443561380774723,0.5484086871147156
322,MVP Ladder Mailbag: Raptors Keep Rolling Behind Coach Nick Nurse,2020,http://global.nba.com/news/mvp-ladder-mailbag-raptors-keep-rolling-behind-coach-nick-nurse/,Sekou Smith,13,91,42,0.203857779228873,0.203857779228873,James Harden,0.2122346815414761,0.5639772415161133
323,5 NBA Things To Know For Feb. 11,2020,http://global.nba.com/news/5-nba-things-to-know-for-feb-11/,Jeff Case,122,91,42,0.0423881673881673,0.0423881673881673,James Harden,0.0538469870969226,0.5639772415161133
324,Luol Deng Named Basketball Africa League’s Global Ambassador,2020,http://global.nba.com/news/luol-deng-named-basketball-africas-league-global-ambassador/,Official Release,21996,84859,93866,0.2114455364455364,0.2114455364455364,James Harden,0.0,0.5639772415161133
325,"Rondo, Davis Lead Lakers To 125-100 Win vs. Suns",2020,http://global.nba.com/news/rondo-davis-lead-lakers-to-125-100-win-vs-suns/,NBA News,21996,84859,93866,0.0859496753246753,0.0859496753246753,Anthony Davis,0.0834775989484126,0.5484086871147156
326,"Butler Returns To Lead Heat Past Warriors, 113-101",2020,http://global.nba.com/news/butler-returns-to-lead-heat-past-warriors-113-101/,NBA News,21996,84859,93866,0.0981398809523809,0.0981398809523809,Jimmy Butler,0.1168616009971185,0.5436585545539856
327,Gobert Is Perfect From The Field To Lead Jazz To Win,2020,http://global.nba.com/news/gobert-is-perfect-from-the-field-to-lead-jazz-to-win/,SCHUYLER DIXON | AP Sports Writer,125037,1963,16174,0.0125908858166922,0.0125908858166922,Donovan Mitchell,0.0710990319195381,0.5453328490257263
328,Nuggets Come From 23 Down To Beat Spurs 127-120,2020,http://global.nba.com/news/nuggets-come-from-23-down-to-beat-spurs-127-120/,NBA News,21996,84859,93866,0.103165905631659,0.103165905631659,DeMar DeRozan,0.0344707712934551,0.569061279296875
329,Reports: Michael Kidd-Gilchrist To Sign With Mavericks,2020,http://global.nba.com/news/reports-michael-kidd-gilchrist-to-sign-with-mavericks/,NBA News,21996,84859,93866,0.1,0.1,James Harden,0.0,0.5639772415161133
330,"Middleton, Bledsoe Help Bucks Beat Kings Minus Antetokounmpo",2020,http://global.nba.com/news/middleton-bledsoe-help-bucks-beat-kings-minus-antetokounmpo/,NBA News,21996,84859,93866,0.0683780663780663,0.0683780663780663,Giannis Antetokounmpo,0.1652715359919669,0.6147996783256531
331,"Anunoby Has 25, Raptors Beat Wolves For 15th Straight Win",2020,http://global.nba.com/news/anunoby-has-25-raptors-beat-wolves-for-15th-straight-win/,IAN HARRISON | Associated Press,6888,2068,85885,0.1622835497835497,0.1622835497835497,Pascal Siakam,0.1029873958083632,0.5845013856887817
332,"Gordon, Vucevic Lift Magic Over Hawks 135-126",2020,http://global.nba.com/news/gordon-vucevic-lift-magic-over-hawks-135-126/,BILL FAY | Associated Press,2493,91,42,0.1807599016480594,0.1807599016480594,Trae Young,0.119475205897332,0.549218475818634
333,"Dinwiddie’s Basket Gives Nets Win, Pacers 6th Straight Loss",2020,http://global.nba.com/news/dinwiddies-basket-gives-nets-win-pacers-6th-straight-loss/,MICHAEL MAROT | AP Sports Writer,13,91,42,0.0504488680718189,0.0504488680718189,T.J. Warren,0.0536596430638739,0.6024386286735535
334,"Hornets Beat Pistons 87-76, End 5-Game Losing Streak",2020,http://global.nba.com/news/hornets-beat-pistons-87-76-end-5-game-losing-streak/,NBA News,21996,84859,93866,0.015203373015873,0.015203373015873,Andre Drummond,0.0385168080699269,0.5322688221931458
335,Bucks Add Veteran Forward Marvin Williams,2020,http://global.nba.com/news/bucks-add-veteran-forward-marvin-williams/,NBA News,21996,84859,93866,-0.0805555555555555,-0.0805555555555555,James Harden,0.0,0.5639772415161133
336,Jayson Tatum And Nikola Jokic Earn Player Of The Week Honors For Week 16,2020,http://global.nba.com/news/jayson-tatum-and-nikola-jokic-earn-player-of-the-week-honors-for-week-16/,Official Release,21996,84859,93866,-0.0357142857142857,-0.0357142857142857,James Harden,0.288696099372374,0.5639772415161133
337,Welcome To Chicago Week,2020,http://global.nba.com/news/welcome-to-chicago-week/,NBA News,21996,84859,93866,0.3844696969696969,0.3844696969696969,James Harden,0.0,0.5639772415161133
