Unnamed: 0,title,time,url,author,credit_article,credit_followers,credit_tweets,textblob_Sentiment,nltk_Sentiment,most_frequent_name,relevance_score
5795,"Beal Scores 36 Points As Wizards Get Past Hawks, 131-117",2019,http://global.nba.com/news/beal-scores-36-points-as-wizards-get-past-hawks-131-117/,NBA News,Default,Default,Default,0.0201730418943533,0.0201730418943533,Bradley Beal,0.18303383354293917
5796,Nuggets Defeat Magic In Overtime For 7th Straight Win,2019,http://global.nba.com/news/nuggets-defeat-magic-in-overtime-for-7th-straight-win/,NBA News,Default,Default,Default,0.1730339105339105,0.1730339105339105,Evan Fournier,0.11897757343659342
5797,Curry’s 42 Leads Warriors Past Cavs In Finals Rematch,2019,http://global.nba.com/news/currys-42-leads-warriors-past-cavs-in-finals-rematch/,NBA News,Default,Default,Default,0.0927999817084324,0.0927999817084324,Kevin Durant,0.0868537858887613
5798,Wall To Miss Game vs. Hawks For Personal Reasons,2019,http://global.nba.com/news/wall-to-miss-game-vs-hawks-for-personal-reasons/,NBA News,Default,Default,Default,-0.0277777777777777,-0.0277777777777777,John Wall,0.31956870940800713
5799,Lakers Aim To Use Newfound Defensive Responsibility vs. Spurs,2019,http://global.nba.com/news/lakers-aim-to-use-newfound-defensive-responsibility-against-spurs/,NBA News,Default,Default,Default,0.01500429000429,0.01500429000429,LaMarcus Aldridge,0.07160980142613839
5800,Milwaukee Looks For Home Victory vs. Pistons,2019,http://global.nba.com/news/milwaukee-looks-for-home-victory-vs-pistons/,NBA News,Default,Default,Default,0.1200193903318903,0.1200193903318903,Khris Middleton,0.045242908820661974
5801,Clippers’ High-Scoring Offense Faces Grizzlies’ Tough Defense,2019,http://global.nba.com/news/clippers-high-scoring-offense-faces-grizzlies-tough-defense/,NBA News,Default,Default,Default,0.1031520562770563,0.1031520562770563,Mike Conley,0.04834787351208105
5802,Warriors Head To Cleveland For First Time Since 2018 Finals,2019,http://global.nba.com/news/warriors-head-to-cleveland-for-first-time-since-2018-finals/,NBA News,Default,Default,Default,0.0896558872305141,0.0896558872305141,Kevin Durant,0.06181772844615298
5803,Raptors Host Sixers In Huge Eastern Conference Matchup,2019,http://global.nba.com/news/raptors-host-sixers-in-huge-eastern-conference-matchup/,NBA News,Default,Default,Default,0.2040495867768594,0.2040495867768594,Joel Embiid,0.08517416215625498
5804,Nuggets’ Harris Day-To-Day With Hip Injury,2019,http://global.nba.com/news/nuggets-harris-day-to-day-with-hip-injury/,NBA News,Default,Default,Default,0.0458333333333333,0.0458333333333333,James Harden,0.0
5805,"About Last Night: Welcome Back, Korver",2019,http://global.nba.com/news/about-last-night-welcome-back-korver/,NBA News,Default,Default,Default,0.0202928297755883,0.0202928297755883,Donovan Mitchell,0.10404201225127126
5806,Blogtable: Are You A Believer In Nuggets This Season?,2019,http://global.nba.com/news/blogtable-are-you-a-believer-in-nuggets-this-season/,NBA News,Default,Default,Default,0.219143475572047,0.219143475572047,LeBron James,0.05648910568955916
5807,Blogtable: Your Thoughts On Kobe’s Talk About Lakers?,2019,http://global.nba.com/news/blogtable-your-thoughts-on-kobes-talk-about-lakers/,NBA News,Default,Default,Default,0.1262608806963645,0.1262608806963645,LeBron James,0.28898150077054874
5808,Blogtable: Which Team Most Needs Of A Shake-Up?,2019,http://global.nba.com/news/blogtable-which-team-most-needs-of-a-shake-up/,NBA News,Default,Default,Default,0.0385684083358502,0.0385684083358502,Bradley Beal,0.049712557978822694
5809,"Hield Scores 20, Kings Bury Suns Early In 122-105 Win",2019,http://global.nba.com/news/hield-scores-20-kings-bury-suns-early-in-122-105-win/,NBA News,Default,Default,Default,0.0497252747252747,0.0497252747252747,Devin Booker,0.060018326024314644
5810,"Mitchell Nets 20, Gobert Adds 18 As Jazz Beat Spurs 139-105",2019,http://global.nba.com/news/mitchell-nets-20-gobert-adds-18-as-jazz-beat-spurs-139-105/,NBA News,Default,Default,Default,0.0844907407407407,0.0844907407407407,Donovan Mitchell,0.06814631401724047
