Unnamed: 0,title,time,url,author
75,"The Finals Stat, Game 3: Jimmy Butler Controls The Ball","October 5, 2020",http://global.nba.com/news/the-finals-stat-game-3-jimmy-butler-controls-the-ball/,"John Schuhmann, NBA.com"
76,Jimmy Butler Logs 3rd 40-Point Triple-Double In NBA Finals History,"October 4, 2020",http://global.nba.com/news/jimmy-butler-logs-3rd-40-point-triple-double-in-nba-finals-history/,NBA News
77,NBPA Announces 90 Percent Of Eligible Players Registered To Vote,"October 4, 2020",http://global.nba.com/news/nbpa-announces-90-percent-of-eligible-players-registered-to-vote/,NBA News
78,Butler’s Big Night Helps Heat Cut Lakers’ Finals Lead To 2-1,"October 4, 2020",http://global.nba.com/news/butlers-big-night-helps-heat-cut-lakers-finals-lead-to-2-1/,Tim Reynolds | AP Basketball Writer
79,"Bam Adebayo, Goran Dragic Ruled Out For Game 3","October 4, 2020",http://global.nba.com/news/report-miami-heats-bam-adebayo-goran-dragic-doubtful-for-game-3/,NBA News
80,"Facing Daunting Challenge vs. Lakers, Heat Vow To Find A Way","October 4, 2020",http://global.nba.com/news/facing-daunting-challenge-vs-lakers-heat-vow-to-find-a-way/,Michael C. Wright NBA.com
81,Banged Up Heat Remain Defiant Despite 2-0 Deficit,"October 3, 2020",http://global.nba.com/news/banged-up-heat-remain-defiant-despite-2-0-deficit/,NBA News
82,"Q&A: Del Harris, 2020 Winner Of Chuck Daly Lifetime Achievement Award","October 3, 2020",http://global.nba.com/news/qa-del-harris-2020-winner-of-chuck-daly-lifetime-achievement-award/,"Brian Martin, for NBA.com"
83,5 Things We Learned From Game 2 Of 2020 Finals,"October 3, 2020",http://global.nba.com/news/5-things-we-learned-from-game-2-of-2020-finals/,"Steve Aschburner, NBA.com"
84,"Injuries Have Waylaid Heat’s Chances, Just As Lakers Level Up","October 3, 2020",http://global.nba.com/news/injuries-have-waylaid-heats-chances-just-as-lakers-level-up/,Shaun Powell
85,"The Finals Stat, Game 2: Lakers Ridiculously Efficient","October 3, 2020",http://global.nba.com/news/the-finals-stat-game-2-lakers-ridiculously-efficient/,John Schuhmann NBA.com
86,Halfway Home: Lakers Top Heat 124-114 For 2-0 Finals Lead,"October 3, 2020",http://global.nba.com/news/halfway-home-lakers-top-heat-124-114-for-2-0-finals-lead/,Tim Reynolds | AP Basketball Writer
87,"Bam Adebayo, Goran Dragic Ruled Out For Game 2 Of Finals","October 2, 2020",http://global.nba.com/news/report-bam-adebayo-shoulder-ruled-out-for-game-2-of-finals/,NBA.com Staff
88,Del Harris Earns Well-Deserved Lifetime Achievement Award,"October 2, 2020",http://global.nba.com/news/del-harris-earns-well-deserved-lifetime-achievement-award/,Steve Aschburner
89,Del Harris Receives 2020 Chuck Daly Lifetime Achievement Award,"October 2, 2020",http://global.nba.com/news/del-harris-receives-2020-chuck-daly-lifetime-achievement-award/,Official Release
90,Lakers Stay Alert Ahead Of Game 2 vs. Heat,"October 1, 2020",http://global.nba.com/news/lakers-stay-alert-ahead-of-game-2-vs-heat/,NBA News
91,"Attuned To Adversity, Jimmy Butler & Heat Ready To Climb Uphill Challenge In Finals","October 1, 2020",http://global.nba.com/news/attuned-to-adversity-jimmy-butler-heat-ready-to-climb-uphill-challenge-in-finals/,Michael C. Wright NBA.com
92,"LeBron James, Anthony Davis Sublimate Egos In Search For Glory","October 1, 2020",http://global.nba.com/news/lebron-james-anthony-davis-sublimate-egos-in-search-for-glory/,Michael C. Wright NBA.com
93,LeBron James Says Experience Helped Him ‘Have No Weakness’,"October 1, 2020",http://global.nba.com/news/lebron-james-says-experience-helped-him-have-no-weakness/,Sekou Smith NBA.com
94,76ers Name Doc Rivers New Head Coach,"October 1, 2020",http://global.nba.com/news/report-76ers-hire-doc-rivers-as-head-coach/,76ers Official Press Release
95,Kobe Bryant’s Presence Felt During 2020 NBA Finals,"October 1, 2020",http://global.nba.com/news/kobe-bryants-presence-felt-during-2020-nba-finals/,Tim Reynolds | Associated Press
96,Vince Carter Wins 2019-20 NBA Sportsmanship Award,"October 1, 2020",http://global.nba.com/news/vince-carter-wins-2019-20-nba-sportsmanship-award/,Official Release
97,"Goran Dragic (Foot), Bam Adebayo (Neck Strain) Doubtful For Game 2","October 1, 2020",http://global.nba.com/news/goran-dragic-exits-with-an-injured-foot-bam-adebayo-leaves-with-shoulder-injury/,From NBA Twitter and media reports
98,5 Things We Learned From Game 1 Of 2020 Finals,"October 1, 2020",http://global.nba.com/news/5-things-we-learned-from-game-1-of-2020-finals/,Steve Aschburner
99,Lakers Look Ready To Take Their Championship And Go Home,"October 1, 2020",http://global.nba.com/news/lakers-look-ready-to-take-their-championship-and-go-home/,"Shaun Powell, NBA.Com"
100,Inside The Box Score: 2020 NBA Finals Game 1,"October 1, 2020",http://global.nba.com/news/inside-the-box-score-2020-nba-finals-game-1/,Brian Martin
101,Adam Silver Succeeds Navigating ‘Bubble’ But Uncertainty Ahead,"October 1, 2020",http://global.nba.com/news/adam-silver-succeeds-navigating-bubble-but-uncertainty-ahead/,Steve Aschburner NBA.com
