title,date,url
NBA: LeBron James suspended for Los Angeles Lakers defeat by New York Knicks,24 November 2021,https://www.bbc.co.uk/sport/basketball/59399534
NBA play-offs: Miami Heat reach Eastern final as LeBron James helps Lakers to win,9 September 2020,https://www.bbc.co.uk/sport/basketball/54083605
LeBron James felt Kobe Bryant's presence in LA Lakers win over Portland Trailblazers,25 August 2020,https://www.bbc.co.uk/sport/av/basketball/53907417
NBA: LeBron James shines as LA Lakers beat Houston Rockets,3 November 2021,https://www.bbc.co.uk/sport/basketball/59146508
LeBron James rookie card sells for record $1.8m,19 July 2020,https://www.bbc.co.uk/sport/basketball/53465305
LeBron James and NBA stars take a knee before LA Lakers beat LA Clippers,31 July 2020,https://www.bbc.co.uk/sport/av/basketball/53608186
NBA: JR Smith reunited with LeBron James at LA Lakers for rest of season,2 July 2020,https://www.bbc.co.uk/sport/basketball/53261602
NBA: LeBron James leads Black Lives Matter protests as season restarts,31 July 2020,https://www.bbc.co.uk/sport/basketball/53580644
Sportshour: The NBA returns with LeBron James looking 'in his prime',1 August 2020,https://www.bbc.co.uk/programmes/w172x3bwdlpzjdr
LeBron James: Donald Trump no loss to NBA,6 August 2020,https://www.bbc.co.uk/sport/basketball/53675792
NBA plays of the week: LeBron James nets a long-range missile,10 March 2020,https://www.bbc.co.uk/sport/av/basketball/51809179
"NBA: Ric Flair, LeBron James and Zion Williamson star in LA Lakers v New Orleans Pelicans",26 February 2020,https://www.bbc.co.uk/sport/av/basketball/51645706
NBA: LeBron James gets crowd roaring in best plays of the week,10 February 2020,https://www.bbc.co.uk/sport/av/basketball/51451220
LeBron James calls on MLB to listen to players over Houston Astros sign-stealing,18 February 2020,https://www.bbc.co.uk/sport/baseball/51554398
LeBron James scores 40 points in LA Lakers win over New Orleans Pelicans,26 February 2020,https://www.bbc.co.uk/sport/basketball/51640926
"Russell Westbrook, Jayson Tatum and LeBron James star in the NBA best plays of the week",25 February 2020,https://www.bbc.co.uk/sport/av/basketball/51633817
LeBron James dominates this week's NBA best plays,24 December 2019,https://www.bbc.co.uk/sport/av/basketball/50890827
NBA: Giannis Antetokounmpo and LeBron James face off in top two battle,20 December 2019,https://www.bbc.co.uk/sport/av/basketball/50867519
NBA: LA Lakers' LeBron James & Anthony Davis 'show-off' their dunking skills,2 January 2020,https://www.bbc.co.uk/sport/av/basketball/50973249
Kobe Bryant: LeBron James leads tributes to LA Lakers legend,1 February 2020,https://www.bbc.co.uk/sport/basketball/51338764
LeBron James dunk features in NBA All-Star game best plays,17 February 2020,https://www.bbc.co.uk/sport/av/basketball/51531161
Coronavirus: LeBron James says he will refuse to play if LA Lakers games go behind closed doors,7 March 2020,https://www.bbc.co.uk/sport/basketball/51780963
LeBron James surpasses Kobe Bryant in NBA's all-time scoring list,26 January 2020,https://www.bbc.co.uk/sport/basketball/51254093
LeBron James surpasses Kobe Bryant in NBA's all-time scoring list,26 January 2020,https://www.bbc.co.uk/sport/av/basketball/51256108
Celtics' Jaylen Brown scores huge dunk over Lakers star LeBron James,21 January 2020,https://www.bbc.co.uk/sport/av/basketball/51190659
LeBron James inspires Miami Heat to win NBA title,22 June 2012,http://www.bbc.co.uk/sport/0/basketball/18549482
LeBron James: 'A sensational alley-oop' - watch NBA top 10 plays of the week,31 December 2019,https://www.bbc.co.uk/sport/av/basketball/50948141
LeBron James promises to continue Kobe Bryant's legacy,28 January 2020,https://www.bbc.co.uk/sport/basketball/51276513
'Touchdown!' - Watch LeBron James's NFL-style catch in the NBA top 10 plays,3 December 2019,https://www.bbc.co.uk/sport/av/basketball/50637017
NBA: LeBron James scores slam dunk in top 10 plays,18 November 2019,https://www.bbc.co.uk/sport/av/basketball/50464754
LeBron James sets NBA triple-double record as LA Lakers beat Oklahoma City Thunder,20 November 2019,https://www.bbc.co.uk/sport/basketball/50485751
LeBron James impresses but LA Lakers lose 128-119 at Portland Trail Blazers,19 October 2018,https://www.bbc.co.uk/sport/basketball/45911389
LeBron James passes Michael Jordan's NBA points tally,7 March 2019,https://www.bbc.co.uk/sport/av/basketball/47484317
NBA: LeBron James claims first Los Angeles Lakers victory,25 October 2018,https://www.bbc.co.uk/sport/basketball/45975260
LeBron James: LA Lakers officially sign three-time NBA champion,10 July 2018,http://www.bbc.co.uk/sport/basketball/44777008
LeBron James landmark as Los Angeles Lakers thrashed by Indiana Pacers,6 February 2019,https://www.bbc.co.uk/sport/basketball/47141238
LeBron James and the Los Angeles Lakers out of play-off race - what has gone wrong?,23 March 2019,https://www.bbc.co.uk/sport/basketball/47589985
NBA: LeBron James overtakes Michael Jordan in all-time points scoring,7 March 2019,https://www.bbc.co.uk/sport/basketball/47454448
LeBron James passes Wilt Chamberlain on NBA all-time scoring list in Lakers win,15 November 2018,https://www.bbc.co.uk/sport/basketball/46218586
NBA: LeBron James features in NBA 10 best plays,25 October 2018,https://www.bbc.co.uk/sport/av/basketball/45978212
