title,date,url,player,textblob_sentiment
"Gossip column: Kroos, Rodriguez, Casillas, Azmoun, Hazard",2014,https://www.bbc.co.uk/sport/26965549,José Calderón,0.11957042957042957
Champions League draw: Bayern Munich & PSG face English sides,2014,https://www.bbc.co.uk/sport/football/26664718,José Calderón,0.15021340249788523
Glasgow 2014: The Jamaican university that changed athletics,2014,https://www.bbc.co.uk/sport/commonwealth-games/26986280,Deron Williams,0.15889371451059764
Leopoldo LÃ³pez: Venezuela's maverick opposition leader,2014,https://www.bbc.co.uk/news/world-latin-america-26238612,Robin Lopez,0.0
Luke Freeman: Stevenage open to offers for winger,2014,https://www.bbc.co.uk/sport/football/25552205,Robin Lopez,0.11373771730914586
Andy Murray beats Matthew Ebden in Sony Open second round,2014,https://www.bbc.co.uk/sport/tennis/26695849,Robin Lopez,0.07319819819819819
Sony Open: Rafael Nadal and Stanislas Wawrinka win in Miami,2014,https://www.bbc.co.uk/sport/tennis/26725362,Robin Lopez,0.08228228228228228
Golden Globes 2014: Winners,2014,http://www.bbc.co.uk/news/entertainment-arts-25351307,Robin Lopez,0.3
"Gossip column: Shaw, Podolski, Lopez, van Persie, Gaitan, Lamela",2014,https://www.bbc.co.uk/sport/26477822,Robin Lopez,0.09934514637904465
12 Years A Slave leads Golden Globe nominations,2014,https://www.bbc.co.uk/news/entertainment-arts-25351325,Robin Lopez,0.3
Boxing schedule and results 2013,2014,https://www.bbc.co.uk/sport/boxing/25622907,Robin Lopez,0.043181818181818175
Pro12: Connacht 38-6 Treviso,2014,https://www.bbc.co.uk/sport/rugby-union/26389304,Tobias Harris,0.1710285285285285
Sochi 2014: Winter Olympics sports this week,2014,https://www.bbc.co.uk/sport/winter-olympics/25374020,Tobias Harris,0.1349953735831599
Bafta TV awards 2014: Winners in full,2014,https://www.bbc.co.uk/news/entertainment-arts-26918912,Tobias Harris,0.35
Pigs 'shot with crossbow' at Blythburgh farm,2014,http://www.bbc.co.uk/news/uk-england-suffolk-25200146,Jimmy Butler,0.0
Reward offered after Blythburgh pigs shot with crossbow,2014,https://www.bbc.co.uk/news/uk-england-suffolk-25368496,Jimmy Butler,0.0
Not reporting child abuse 'should be criminal offence',2014,http://www.bbc.co.uk/news/uk-24772777,Jimmy Butler,-0.4
Carmen (Omnibus),2014,https://www.bbc.co.uk/programmes/b03p83r7,Wilson Chandler,0.0
Carmen: 3. Introductions,2014,https://www.bbc.co.uk/programmes/b03nt9vh,Wilson Chandler,0.5
Carmen: 4. Rivalry,2014,https://www.bbc.co.uk/programmes/b03nt8bc,Wilson Chandler,0.0
Carmen: 1. Imprisoned,2014,https://www.bbc.co.uk/programmes/b03nsrj2,Wilson Chandler,0.0
Carmen: 5. Destiny,2014,https://www.bbc.co.uk/programmes/b03ntb2b,Wilson Chandler,0.0
Carmen: 2. Reunion,2014,https://www.bbc.co.uk/programmes/b03nt8hs,Wilson Chandler,0.0
Front Row: Kings of the Dance; John Banville; Yves Saint Laurent biopic,2014,https://www.bbc.co.uk/programmes/b03y38kt,Wilson Chandler,0.0
Police Scotland apologise in Buckfast tonic wine case,2014,https://www.bbc.co.uk/news/uk-scotland-25989700,Wilson Chandler,0.0
Front Row: Harry Hill on I Can't Sing; George Michael's Symphonica album; A Long Way Down,2014,https://www.bbc.co.uk/programmes/b03y0n8d,George Hill,-0.1027777777777778
Hillsborough stories: Derrick George Godwin,2014,https://www.bbc.co.uk/news/uk-england-27024949,George Hill,0.0
Vanessa Feltz's Review of the Year,2014,https://www.bbc.co.uk/programmes/b03m7jv5,George Hill,0.0
Kelvin MacKenzie in council Elmbridge election,2014,https://www.bbc.co.uk/news/uk-england-surrey-26644092,George Hill,0.0
