,name,age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,is_combined_totals,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
70,Mikal Bridges,23,8.6,2.0,0.8,1.5,12.4,2.3,0.252,73,False,2042,-0.6,3.5,2.5,12.9,['SMALL FORWARD'],bridgmi01,2.4,PHOENIX SUNS,0.401,7.9,0.62,12.0,12.7,1.5,4.8,0.113
291,Cameron Johnson,23,7.7,1.4,0.3,-0.4,12.4,1.0,0.141,57,False,1255,0.8,4.3,1.7,12.9,['POWER FORWARD'],johnsca02,1.4,PHOENIX SUNS,0.672,8.3,0.586,6.9,15.7,0.7,2.7,0.102
557,Brad Wanamaker,30,17.8,0.9,-0.6,1.3,9.4,1.8,0.376,71,False,1369,-1.9,1.7,1.8,12.8,['POINT GUARD'],wanambr01,2.2,BOSTON CELTICS,0.282,5.6,0.577,15.3,15.5,0.5,3.5,0.124
98,DeMarre Carroll,33,12.2,1.7,-1.1,-0.4,13.0,0.2,0.595,9,False,155,-0.7,3.3,0.2,12.8,['CENTER'],carrode01,1.8,HOUSTON ROCKETS,0.541,8.1,0.578,13.0,14.3,0.0,0.4,0.114
178,Cristiano Felício,27,5.7,0.5,-3.1,-1.7,14.1,0.3,0.426,22,False,386,-1.4,15.0,0.7,12.8,['CENTER'],feliccr01,1.2,CHICAGO BULLS,0.037,14.6,0.671,21.9,9.1,-0.1,1.0,0.126
19,Trevor Ariza,34,7.6,1.0,-0.4,0.4,12.8,0.4,0.296,21,False,702,-0.9,2.0,1.0,12.8,['SMALL FORWARD'],arizatr01,2.3,PORTLAND TRAIL BLAZERS,0.535,7.4,0.643,13.5,12.5,0.3,1.4,0.098
317,Luke Kornet,24,8.5,4.4,-1.2,-0.2,12.9,0.6,0.15,36,False,559,-0.9,4.1,0.5,12.7,['CENTER'],kornelu01,0.9,CHICAGO BULLS,0.578,8.3,0.539,6.6,16.3,0.1,1.1,0.091
409,Raul Neto,27,20.3,0.8,-1.8,-0.6,8.3,0.6,0.212,54,False,668,-1.2,1.8,0.5,12.7,['POINT GUARD'],netora01,1.7,PHILADELPHIA 76ERS,0.396,5.0,0.567,16.2,18.7,0.0,1.2,0.083
450,Vincent Poirier,26,8.5,6.4,-3.8,1.0,24.4,0.2,0.194,22,False,130,-4.8,10.8,0.1,12.7,['CENTER'],poirivi01,0.7,BOSTON CELTICS,0.056,17.7,0.525,17.0,15.4,-0.1,0.3,0.113
394,Markieff Morris,30,11.0,0.9,-2.1,-1.0,17.3,0.7,0.203,44,False,988,-1.1,2.7,0.3,12.7,['POWER FORWARD'],morrima02,1.3,DETROIT PISTONS,0.486,9.9,0.573,14.2,21.8,0.0,1.0,0.049
330,Damion Lee,27,14.4,0.4,-2.3,-0.8,16.3,0.8,0.247,49,False,1423,-1.5,2.4,0.9,12.7,['SHOOTING GUARD'],leeda03,1.7,GOLDEN STATE WARRIORS,0.468,9.1,0.548,10.6,19.0,-0.1,1.7,0.058
387,Malik Monk,21,16.6,1.3,-2.3,-1.3,12.6,0.6,0.205,55,False,1169,-1.1,2.4,0.1,12.6,['SHOOTING GUARD'],monkma01,1.1,CHARLOTTE HORNETS,0.418,7.3,0.53,12.6,22.9,-0.1,0.7,0.028
487,JaKarr Sampson,26,6.1,2.2,-1.4,1.4,15.7,0.7,0.235,34,False,471,-2.8,4.7,0.6,12.6,['POWER FORWARD'],sampsja02,1.6,INDIANA PACERS,0.113,10.2,0.615,10.6,13.2,0.1,1.2,0.124
283,Reggie Jackson,29,21.3,1.0,-0.2,-0.2,12.6,0.4,0.164,17,False,362,0.0,1.8,0.4,12.6,['SHOOTING GUARD'],jacksre01,0.7,LOS ANGELES CLIPPERS,0.492,7.3,0.587,16.9,19.1,0.2,0.8,0.1
42,Jordan Bell,25,12.9,0.0,-1.6,-0.8,4.9,0.0,0.286,2,False,21,-0.9,10.2,0.0,12.6,['CENTER'],belljo01,2.2,MEMPHIS GRIZZLIES,0.429,7.5,0.635,27.6,21.6,0.0,0.0,0.047
273,Joe Ingles,32,24.4,0.4,0.7,0.7,12.5,2.1,0.17,72,False,2137,0.1,1.4,2.7,12.6,['POWER FORWARD'],inglejo01,1.5,UTAH JAZZ,0.638,7.2,0.595,19.3,15.1,1.5,4.8,0.108
344,Trey Lyles,24,7.2,1.9,-1.2,-0.7,24.6,1.0,0.131,63,False,1271,-0.5,6.0,1.2,12.6,['POWER FORWARD'],lylestr01,1.1,SAN ANTONIO SPURS,0.49,15.3,0.557,9.7,13.6,0.3,2.2,0.083
35,Kent Bazemore,30,8.0,1.5,-2.8,0.3,21.6,0.7,0.361,25,False,577,-3.0,2.7,0.1,12.6,['SMALL FORWARD'],bazemke01,2.4,SACRAMENTO KINGS,0.351,11.9,0.533,11.4,20.4,-0.1,0.8,0.065
434,Jeremy Pargo,33,33.2,0.0,-5.9,-3.1,5.1,0.0,0.045,3,False,44,-2.8,2.4,0.0,12.6,['POINT GUARD'],pargoje01,1.1,GOLDEN STATE WARRIORS,0.318,3.7,0.557,15.1,25.7,0.0,0.0,0.011
248,Tyler Herro,20,12.7,0.6,-1.6,-1.2,14.9,1.3,0.158,55,False,1508,-0.4,1.2,0.2,12.5,['SHOOTING GUARD'],herroty01,1.1,MIAMI HEAT,0.472,8.3,0.55,11.4,22.3,0.1,1.6,0.05
