,Unnamed: 0,title,time,url
126,126,"After Dispatching Nuggets, LeBron Faces Dual Challenge In 10th Finals",off-season news,http://global.nba.com/news/after-dispatching-nuggets-lebron-faces-dual-challenge-in-10th-finals/
127,127,"Lakers Reach The Finals, But ‘The Job Is Not Done’",off-season news,http://global.nba.com/news/lakers-reach-the-finals-but-the-job-is-not-done/
128,128,"Celtics’ Plan: Take Away Heat 3-Pointers, Force Game 7",off-season news,http://global.nba.com/news/celtics-plan-take-away-heat-3-pointers-force-game-7/
129,129,‘Heat Culture’ Will Be Tested By Resurgent Celtics In Game 6,off-season news,http://global.nba.com/news/heat-culture-will-be-tested-by-resurgent-celtics-in-game-6/
130,130,Closeout Special: LeBron James Leads Lakers Back To NBA Finals,off-season news,http://global.nba.com/news/closeout-special-lebron-james-leads-lakers-back-to-nba-finals/
131,131,Heat Take Another Shot At Eliminating Celtics In Game 6,off-season news,http://global.nba.com/news/heat-take-another-shot-at-eliminating-celtics-in-game-6/
132,132,"James, Lakers Beat Nuggets In Game 5 To Reach NBA Finals",off-season news,http://global.nba.com/news/james-lakers-beat-nuggets-in-game-5-to-reach-nba-finals/
133,133,Heat’s Bam Adebayo Takes Blame For Game 5 Loss To Celtics,off-season news,http://global.nba.com/news/heats-bam-adebayo-takes-blame-for-game-5-loss-to-celtics/
134,134,"Walker’s Halftime Speech Settles Celtics, Who Respond With Series-Saving Run",off-season news,http://global.nba.com/news/walkers-halftime-speech-settles-celtics-who-respond-with-series-saving-run/
135,135,Another NBA Finals Awaits LeBron If Lakers Can Finish Nuggets,off-season news,http://global.nba.com/news/another-nba-finals-awaits-lebron-if-lakers-can-finish-nuggets/
136,136,Nuggets Meet Lakers With Season On Brink Yet Again,off-season news,http://global.nba.com/news/nuggets-meet-lakers-with-season-on-brink-yet-again/
137,137,"Celtics Control Second Half, Top Heat To Win Game 5 In East",off-season news,http://global.nba.com/news/celtics-control-second-half-top-heat-to-win-game-5-in-east/
138,138,"Nuggets Are In A Familiar, Undesirable Position Heading Into Game 5",off-season news,http://global.nba.com/news/nuggets-are-in-a-familiar-undesirable-position-heading-into-game-5/
139,139,"Dwight Howard Rebounds, Fights For Championship Contention",off-season news,http://global.nba.com/news/dwight-howard-rebounds-fights-for-championship-contention/
140,140,Powell: 5 Reasons Lakers’ 3-1 Lead Is One Nuggets Can’t Surmount,off-season news,http://global.nba.com/news/powell-5-reasons-lakers-3-1-lead-is-one-nuggets-cant-surmount/
141,141,Heat Aim To Close Out Celtics In Game 5,off-season news,http://global.nba.com/news/heat-aim-to-close-out-celtics-in-game-5/
142,142,"Davis, Lakers Beat Nuggets To Take 3-1 Lead In West Finals",off-season news,http://global.nba.com/news/davis-lakers-beat-nuggets-to-take-3-1-lead-in-west-finals/
143,143,"For Billy Donovan, Job With Bulls ‘Came Out Of Left Field’",off-season news,http://global.nba.com/news/for-billy-donovan-job-with-bulls-came-out-of-left-field/
144,144,"The Q&A: Alex English On Importance Of Voting, Social Justice Causes",off-season news,http://global.nba.com/news/the-qa-alex-english-on-importance-of-voting-social-justice-causes/
145,145,‘Veteran Rookie’ Herro’s Special Night Has Heat 1 Win From Finals,off-season news,http://global.nba.com/news/veteran-rookie-herros-special-night-has-heat-1-win-from-finals/
146,146,Unafraid Nuggets Continue To Show Improvement In Each Game Against Top-Seeded Lakers,off-season news,http://global.nba.com/news/unafraid-nuggets-continue-to-show-improvement-in-each-game-against-top-seeded-lakers/
147,147,Breonna Taylor Court Ruling Rekindles Social Justice Fires In Bubble,off-season news,http://global.nba.com/news/breonna-taylor-court-ruling-rekindles-social-justice-fires-in-bubble/
148,148,Lakers Look To Retake Control In Game 4 vs. Nuggets,off-season news,http://global.nba.com/news/lakers-look-to-retake-control-in-game-4-vs-nuggets/
149,149,"After 6 Months Off, 8 Non-Disney Teams Get Back To Practice",off-season news,http://global.nba.com/news/after-6-months-off-8-non-disney-teams-get-back-to-practice/
150,150,"For NBA Players, Breonna Taylor Decision ‘Not Enough’",off-season news,http://global.nba.com/news/for-nba-players-breonna-taylor-decision-not-enough/
151,151,New Kings GM Monte McNair Commits To Luke Walton As Coach,off-season news,http://global.nba.com/news/new-kings-gm-monte-mcnair-commits-to-luke-walton-as-coach/
152,152,NBA Announces Innovative Format For Draft Combine 2020,off-season news,http://global.nba.com/news/nba-announces-innovative-format-for-draft-combine-2020/
153,153,"Opposing Coaches Brad Stevens, Erik Spoelstra Have Healthy Respect For One Another",off-season news,http://global.nba.com/news/opposing-coaches-brad-stevens-erik-spoelstra-have-healthy-respect-for-one-another/
154,154,"Despite Dropping Game 3, It’s Still Lakers’ Series To Lose",off-season news,http://global.nba.com/news/despite-dropping-game-3-its-still-lakers-series-to-lose/
155,155,Resilient Nuggets Bounce Back With Crucial Game 3 Win,off-season news,http://global.nba.com/news/resilient-nuggets-bounce-back-with-crucial-game-3-win/
156,156,Bulls Name Billy Donovan Coach,off-season news,http://global.nba.com/news/billy-donovan-agrees-to-deal-with-chicago-bulls/
157,157,Rejuvenated Celtics Look To Pull Even With Heat,off-season news,http://global.nba.com/news/rejuvenated-celtics-look-to-pull-even-with-heat/
158,158,"Murray, Nuggets Hang On To Win, Cut Lakers’ Lead To 2-1",off-season news,http://global.nba.com/news/murray-nuggets-hang-on-to-win-cut-lakers-lead-to-2-1/
159,159,Celtics’ Romeo Langford Has Season-Ending Wrist Surgery,off-season news,http://global.nba.com/news/celtics-romeo-langford-has-season-ending-wrist-surgery/
160,160,Gordon Hayward Adds New Dimension To Celtics’ Small-Ball Lineup,off-season news,http://global.nba.com/news/gordon-hayward-adds-new-dimension-to-celtics-small-ball-lineup/
161,161,"Giannis Antetokounmpo Rookie Card Fetches $1.812 Million At Auction, Highest Ever For Modern-Day Basketball Card",off-season news,http://global.nba.com/news/giannis-antetokounmpo-rookie-card-fetches-1-812-million-at-auction-highest-ever-for-modern-day-basketball-card/
162,162,"Denny Hamlin, Michael Jordan Partner On NASCAR Team With Driver Bubba Wallace",off-season news,http://global.nba.com/news/denny-hamlin-michael-jordan-partner-on-nascar-team-with-driver-bubba-wallace/
163,163,Anthony Davis Knows Every Lakers Possession Crucial This Deep Into Playoffs,off-season news,http://global.nba.com/news/anthony-davis-knows-every-lakers-possession-crucial-this-deep-into-playoffs/
164,164,"Nuggets, Down 0-2 To Lakers, Rally Around Rebound Mentality",off-season news,http://global.nba.com/news/nuggets-down-0-2-to-lakers-rally-around-rebound-mentality/
165,165,The Q&A: Brendan Malone On West Finals And LeBron vs. MJ Debate,off-season news,http://global.nba.com/news/the-qa-brendan-malone-on-west-finals-and-lebron-vs-mj-debate/
166,166,Anthony Davis Hits ‘Mamba Shot’ To Create New Lakers Moment,off-season news,http://global.nba.com/news/anthony-davis-hits-mamba-shot-to-create-new-lakers-moment/
167,167,"Nuggets Botch Final Play, And What Could Be Their Best Chance",off-season news,http://global.nba.com/news/nuggets-botch-final-play-and-what-could-be-their-best-chance/
168,168,Horry Scale: Anthony Davis Secures Lakers 2-0 Lead Over Nuggets,off-season news,http://global.nba.com/news/horry-scale-anthony-davis-secures-lakers-2-0-lead-over-nuggets/
169,169,"Davis Hits 3 At Buzzer, Lakers Edge Nuggets For 2-0 Lead",off-season news,http://global.nba.com/news/davis-hits-3-at-buzzer-lakers-edge-nuggets-for-2-0-lead/
170,170,"Meyers Leonard, Once A Starter, Now Out Of Heat’s Rotation",off-season news,http://global.nba.com/news/meyers-leonard-once-a-starter-now-out-of-heats-rotation/
